feature,use_case,baseline,optimised,prose_only,d_optimised,d_prose_only
cos_brief_jasper,carbon_capture,0.7514939781189666,0.8070239955870185,0.8070239955870185,0.05553001746805197,0.05553001746805197
cos_brief_jasper,cement_binders,0.8282608695652174,0.8181585677749361,0.8181585677749361,-0.010102301790281265,-0.010102301790281265
cos_brief_jasper,ner,0.7735174081725199,0.7390537612737441,0.7390537612737441,-0.03446364689877579,-0.03446364689877579
cos_brief_jasper,soil_microbiome,0.6027829463635628,0.6095380632634899,0.6095380632634899,0.006755116899927138,0.006755116899927138
cos_brief_jasper,solar_leo,0.5289813800657175,0.548565169769989,0.548565169769989,0.019583789704271548,0.019583789704271548
cos_brief_jasper,tech_forecasting,0.6724805047919521,0.6671230430382761,0.6671230430382761,-0.005357461753676018,-0.005357461753676018
cos_brief_qwen4b,carbon_capture,0.7987956237933254,0.8149305874781649,0.8149305874781649,0.016134963684839576,0.016134963684839576
cos_brief_qwen4b,cement_binders,0.8341432225063938,0.8368286445012787,0.8368286445012787,0.0026854219948848623,0.0026854219948848623
cos_brief_qwen4b,ner,0.7513478107522547,0.7731143245830605,0.7731143245830605,0.021766513830805856,0.021766513830805856
cos_brief_qwen4b,soil_microbiome,0.5195372542674541,0.5113663943046679,0.5113663943046679,-0.008170859962786214,-0.008170859962786214
cos_brief_qwen4b,solar_leo,0.5919824753559694,0.6206790799561883,0.6206790799561883,0.028696604600218945,0.028696604600218945
cos_brief_qwen4b,tech_forecasting,0.6289660098815406,0.6287874278230847,0.6287874278230847,-0.00017858205845588948,-0.00017858205845588948
cos_brief_qwen8b,carbon_capture,0.7264870828353405,0.7903374092120988,0.789923692194539,0.06385032637675836,0.06343660935919848
cos_brief_qwen8b,cement_binders,0.8428388746803069,0.8496803069053709,0.8498721227621484,0.006841432225063948,0.00703324808184147
cos_brief_qwen8b,ner,0.7224769486572278,0.7671688416385347,0.7671688416385348,0.044691892981306935,0.044691892981307046
cos_brief_qwen8b,soil_microbiome,0.5274249656176685,0.5116899927190357,0.5118517919262195,-0.015734972898632793,-0.01557317369144895
cos_brief_qwen8b,solar_leo,0.5171084337349399,0.5663088718510405,0.565695509309967,0.04920043811610064,0.04858707557502717
cos_brief_qwen8b,tech_forecasting,0.6390856598607061,0.6474790166081315,0.6477766533722246,0.008393356747425362,0.008690993511518474
lex_bm25_obj,carbon_capture,0.5078376390548864,0.5604026845637584,0.5604026845637584,0.05256504550887198,0.05256504550887198
lex_bm25_obj,cement_binders,0.648849104859335,0.684079283887468,0.684079283887468,0.03523017902813297,0.03523017902813297
lex_bm25_obj,ner,0.5763591474782084,0.5108580641910616,0.5108580641910616,-0.06550108328714677,-0.06550108328714677
lex_bm25_obj,soil_microbiome,0.5328047892565326,0.5493083083892889,0.5493083083892889,0.016503519132756272,0.016503519132756272
lex_bm25_obj,solar_leo,0.5572398685651697,0.6176998904709748,0.6176998904709748,0.06046002190580513,0.06046002190580513
lex_bm25_obj,tech_forecasting,0.618161795344961,0.5382463241859635,0.5382463241859635,-0.07991547115899744,-0.07991547115899744
lex_bm25_must,carbon_capture,0.7039854739358279,0.7039854739358279,0.7039854739358279,0.0,0.0
lex_bm25_must,cement_binders,0.7916240409207161,0.7994884910485933,0.7916240409207161,0.007864450127877176,0.0
lex_bm25_must,ner,0.720335567088225,0.6047009623620698,0.720335567088225,-0.11563460472615517,0.0
lex_bm25_must,soil_microbiome,0.5959064800582476,0.5959064800582476,0.5959064800582476,0.0,0.0
lex_bm25_must,solar_leo,0.4917415115005476,0.5380503833515882,0.491763417305586,0.046308871851040545,2.190580503835804e-05
lex_bm25_must,tech_forecasting,0.5368176677183165,0.5368176677183165,0.5368176677183165,0.0,0.0
lex_bm25_nice,carbon_capture,0.6941941711869082,0.6941941711869082,0.6941941711869082,0.0,0.0
lex_bm25_nice,cement_binders,0.8115728900255754,0.7891943734015344,0.8115728900255754,-0.022378516624041,0.0
lex_bm25_nice,ner,0.4959943568297476,0.4959943568297476,0.4959943568297476,0.0,0.0
lex_bm25_nice,soil_microbiome,0.5500364048216164,0.5500364048216164,0.5500364048216164,0.0,0.0
lex_bm25_nice,solar_leo,0.5390580503833515,0.5390580503833515,0.5390580503833515,0.0,0.0
lex_bm25_nice,tech_forecasting,0.6228049288648134,0.6228049288648134,0.6228049288648134,0.0,0.0
lex_overlap_must_frac,carbon_capture,0.6649122000551623,0.6649122000551623,0.6649122000551623,0.0,0.0
lex_overlap_must_frac,cement_binders,0.7576726342710998,0.7593350383631714,0.7576726342710998,0.0016624040920716343,0.0
lex_overlap_must_frac,ner,0.6992744495389731,0.6992744495389731,0.6992744495389731,0.0,0.0
lex_overlap_must_frac,soil_microbiome,0.46023784483456026,0.46023784483456026,0.46023784483456026,0.0,0.0
lex_overlap_must_frac,solar_leo,0.46635268346111713,0.5307776560788608,0.46635268346111713,0.06442497261774371,0.0
lex_overlap_must_frac,tech_forecasting,0.5217572474552057,0.5217572474552057,0.5217572474552057,0.0,0.0
